,5.000000,57.000000
457,14.16,23.0
458,14.18,22.0
459,14.2,22.0
460,14.22,13.0
461,14.24,23.0
462,14.26,20.0
463,14.28,18.0
464,14.3,24.0
465,14.32,19.0
466,14.34,16.0
467,14.36,24.0
468,14.38,18.0
469,14.4,19.0
470,14.42,18.0
471,14.44,15.0
472,14.46,18.0
473,14.48,19.0
474,14.5,18.0
475,14.52,17.0
476,14.54,19.0
477,14.56,17.0
478,14.58,25.0
479,14.6,22.0
480,14.62,24.0
481,14.64,18.0
482,14.66,23.0
483,14.68,18.0
484,14.7,25.0
485,14.72,21.0
486,14.74,13.0
487,14.76,19.0
488,14.78,22.0
489,14.8,20.0
490,14.82,17.0
491,14.84,19.0
492,14.86,24.0
493,14.88,13.0
494,14.9,22.0
495,14.92,24.0
496,14.94,17.0
497,14.96,25.0
498,14.98,20.0
499,15.0,27.0
500,15.02,25.0
501,15.04,28.0
502,15.06,14.0
503,15.08,18.0
504,15.1,26.0
505,15.12,19.0
506,15.14,22.0
507,15.16,24.0
508,15.18,19.0
509,15.2,27.0
510,15.22,14.0
511,15.24,20.0
512,15.26,19.0
513,15.28,18.0
514,15.3,23.0
515,15.32,16.0
516,15.34,22.0
517,15.36,24.0
518,15.38,19.0
519,15.4,21.0
520,15.42,18.0
521,15.44,17.0
522,15.46,18.0
523,15.48,28.0
524,15.5,19.0
525,15.52,15.0
526,15.54,20.0
527,15.56,32.0
528,15.58,16.0
529,15.6,15.0
530,15.62,26.0
531,15.64,25.0
532,15.66,23.0
533,15.68,32.0
534,15.7,17.0
535,15.72,26.0
536,15.74,19.0
537,15.76,17.0
538,15.78,29.0
539,15.8,32.0
540,15.82,32.0
541,15.84,31.0
542,15.86,31.0
543,15.88,24.0
544,15.9,20.0
545,15.92,19.0
546,15.94,19.0
547,15.96,31.0
548,15.98,31.0
549,16.0,25.0
550,16.02,25.0
551,16.04,21.0
552,16.06,27.0
553,16.08,28.0
554,16.1,34.0
555,16.12,28.0
556,16.14,33.0
557,16.16,26.0
558,16.18,39.0
559,16.2,34.0
560,16.22,37.0
561,16.24,24.0
562,16.26,23.0
563,16.28,28.0
564,16.3,24.0
565,16.32,22.0
566,16.34,26.0
567,16.36,22.0
568,16.38,21.0
569,16.4,23.0
570,16.42,15.0
571,16.44,22.0
572,16.46,26.0
573,16.48,26.0
574,16.5,18.0
575,16.52,15.0
576,16.54,17.0
577,16.56,31.0
578,16.58,26.0
579,16.6,29.0
580,16.62,17.0
581,16.64,30.0
582,16.66,27.0
583,16.68,13.0
584,16.7,21.0
585,16.72,21.0
586,16.74,17.0
587,16.76,21.0
588,16.78,31.0
589,16.8,17.0
590,16.82,11.0
591,16.84,17.0
592,16.86,22.0
593,16.88,25.0
594,16.9,18.0
595,16.92,23.0
596,16.94,17.0
597,16.96,29.0
598,16.98,28.0
599,17.0,23.0
600,17.02,24.0
601,17.04,24.0
602,17.06,12.0
603,17.08,21.0
604,17.1,26.0
605,17.12,23.0
606,17.14,27.0
607,17.16,24.0
608,17.18,21.0
609,17.2,21.0
610,17.22,25.0
611,17.24,19.0
612,17.26,17.0
613,17.28,18.0
614,17.3,19.0
615,17.32,15.0
616,17.34,14.0
617,17.36,16.0
618,17.38,23.0
619,17.4,21.0
620,17.42,16.0
621,17.44,24.0
622,17.46,19.0
623,17.48,22.0
624,17.5,26.0
625,17.52,32.0
626,17.54,24.0
627,17.56,22.0
628,17.58,22.0
629,17.6,23.0
630,17.62,26.0
631,17.64,22.0
632,17.66,26.0
633,17.68,14.0
634,17.7,19.0
635,17.72,25.0
636,17.74,28.0
637,17.76,20.0
638,17.78,18.0
639,17.8,25.0
640,17.82,16.0
641,17.84,20.0
642,17.86,24.0
643,17.88,10.0
644,17.9,22.0
645,17.92,22.0
646,17.94,29.0
647,17.96,25.0
648,17.98,18.0
649,18.0,17.0
650,18.02,29.0
651,18.04,26.0
652,18.06,14.0
653,18.08,16.0
654,18.1,15.0
655,18.12,23.0
656,18.14,22.0
657,18.16,17.0
658,18.18,17.0
659,18.2,22.0
660,18.22,13.0
661,18.24,22.0
662,18.26,20.0
663,18.28,24.0
664,18.3,21.0
665,18.32,22.0
666,18.34,23.0
667,18.36,19.0
668,18.38,26.0
669,18.4,15.0
670,18.42,18.0
671,18.44,19.0
672,18.46,28.0
673,18.48,15.0
674,18.5,23.0
675,18.52,28.0
676,18.54,22.0
677,18.56,21.0
678,18.58,12.0
679,18.6,20.0
680,18.62,20.0
681,18.64,21.0
682,18.66,12.0
683,18.68,20.0
684,18.7,21.0
685,18.72,16.0
686,18.74,12.0
687,18.76,24.0
688,18.78,33.0
689,18.8,25.0
690,18.82,24.0
691,18.84,16.0
692,18.86,22.0
693,18.88,13.0
694,18.9,12.0
695,18.92,19.0
696,18.94,17.0
697,18.96,27.0
698,18.98,20.0
699,19.0,21.0
700,19.02,21.0
701,19.04,15.0
702,19.06,22.0
703,19.08,22.0
704,19.1,22.0
705,19.12,15.0
706,19.14,19.0
707,19.16,18.0
708,19.18,15.0
709,19.2,21.0
710,19.22,22.0
711,19.24,21.0
712,19.26,25.0
713,19.28,11.0
714,19.3,10.0
715,19.32,29.0
716,19.34,16.0
717,19.36,20.0
718,19.38,15.0
719,19.4,24.0
720,19.42,18.0
721,19.44,18.0
722,19.46,20.0
723,19.48,19.0
724,19.5,20.0
725,19.52,23.0
726,19.54,22.0
727,19.56,14.0
728,19.58,20.0
729,19.6,21.0
730,19.62,16.0
731,19.64,34.0
732,19.66,20.0
733,19.68,19.0
734,19.7,14.0
735,19.72,19.0
736,19.74,22.0
737,19.76,22.0
738,19.78,15.0
739,19.8,27.0
740,19.82,26.0
741,19.84,17.0
742,19.86,21.0
743,19.88,24.0
744,19.9,24.0
745,19.92,18.0
746,19.94,34.0
747,19.96,11.0
748,19.98,25.0
749,20.0,17.0
750,20.02,15.0
751,20.04,26.0
752,20.06,13.0
753,20.08,11.0
754,20.1,15.0
755,20.12,26.0
756,20.14,19.0
757,20.16,23.0
758,20.18,16.0
759,20.2,15.0
760,20.22,21.0
761,20.24,18.0
762,20.26,16.0
763,20.28,20.0
764,20.3,17.0
765,20.32,24.0
766,20.34,21.0
767,20.36,25.0
768,20.38,17.0
769,20.4,28.0
770,20.42,21.0
771,20.44,28.0
772,20.46,32.0
773,20.48,32.0
774,20.5,25.0
775,20.52,39.0
776,20.54,34.0
777,20.56,31.0
778,20.58,52.0
779,20.6,39.0
780,20.62,54.0
781,20.64,45.0
782,20.66,45.0
783,20.68,70.0
784,20.7,78.0
785,20.72,140.0
786,20.74,204.0
787,20.76,385.0
788,20.78,737.0
789,20.8,1171.0
790,20.82,2160.0
791,20.84,2597.0
792,20.86,1485.0
793,20.88,1256.0
794,20.9,924.0
795,20.92,334.0
796,20.94,133.0
797,20.96,94.0
798,20.98,60.0
799,21.0,63.0
800,21.02,56.0
801,21.04,61.0
802,21.06,54.0
803,21.08,46.0
804,21.1,50.0
805,21.12,37.0
806,21.14,33.0
807,21.16,39.0
808,21.18,33.0
809,21.2,28.0
810,21.22,21.0
811,21.24,18.0
812,21.26,12.0
813,21.28,17.0
814,21.3,31.0
815,21.32,24.0
816,21.34,20.0
817,21.36,22.0
818,21.38,22.0
819,21.4,24.0
820,21.42,25.0
821,21.44,15.0
822,21.46,32.0
823,21.48,25.0
824,21.5,18.0
825,21.52,19.0
826,21.54,21.0
827,21.56,32.0
828,21.58,20.0
829,21.6,20.0
830,21.62,18.0
831,21.64,13.0
832,21.66,25.0
833,21.68,25.0
834,21.7,24.0
835,21.72,15.0
836,21.74,23.0
837,21.76,18.0
838,21.78,16.0
839,21.8,14.0
840,21.82,16.0
841,21.84,22.0
842,21.86,15.0
843,21.88,16.0
844,21.9,18.0
845,21.92,23.0
846,21.94,23.0
847,21.96,20.0
848,21.98,19.0
849,22.0,31.0
850,22.02,27.0
851,22.04,18.0
852,22.06,17.0
853,22.08,14.0
854,22.1,11.0
855,22.12,27.0
856,22.14,23.0
857,22.16,22.0
858,22.18,24.0
859,22.2,12.0
860,22.22,23.0
861,22.24,26.0
862,22.26,18.0
863,22.28,26.0
864,22.3,28.0
865,22.32,23.0
866,22.34,19.0
867,22.36,30.0
868,22.38,22.0
869,22.4,27.0
870,22.42,14.0
871,22.44,24.0
872,22.46,18.0
873,22.48,20.0
874,22.5,24.0
875,22.52,30.0
876,22.54,31.0
877,22.56,20.0
878,22.58,35.0
879,22.6,22.0
880,22.62,21.0
881,22.64,35.0
882,22.66,17.0
883,22.68,29.0
884,22.7,20.0
885,22.72,18.0
886,22.74,19.0
887,22.76,30.0
888,22.78,18.0
889,22.8,21.0
890,22.82,27.0
891,22.84,18.0
892,22.86,21.0
893,22.88,21.0
894,22.9,27.0
895,22.92,27.0
896,22.94,23.0
897,22.96,22.0
898,22.98,27.0
899,23.0,10.0
900,23.02,29.0
901,23.04,32.0
902,23.06,29.0
903,23.08,19.0
904,23.1,20.0
905,23.12,19.0
906,23.14,21.0
907,23.16,29.0
908,23.18,25.0
909,23.2,24.0
910,23.22,17.0
911,23.24,30.0
912,23.26,22.0
913,23.28,26.0
914,23.3,23.0
915,23.32,24.0
916,23.34,34.0
917,23.36,24.0
918,23.38,24.0
919,23.4,12.0
920,23.42,24.0
921,23.44,31.0
922,23.46,29.0
923,23.48,26.0
924,23.5,25.0
925,23.52,30.0
926,23.54,35.0
927,23.56,27.0
928,23.58,26.0
929,23.6,27.0
930,23.62,37.0
931,23.64,27.0
932,23.66,29.0
933,23.68,20.0
934,23.7,31.0
935,23.72,35.0
936,23.74,21.0
937,23.76,20.0
938,23.78,26.0
939,23.8,17.0
940,23.82,23.0
941,23.84,20.0
942,23.86,22.0
943,23.88,19.0
944,23.9,14.0
945,23.92,24.0
946,23.94,22.0
947,23.96,21.0
948,23.98,36.0
949,24.0,24.0
950,24.02,30.0
951,24.04,29.0
952,24.06,31.0
953,24.08,47.0
954,24.1,69.0
955,24.12,101.0
956,24.14,98.0
957,24.16,88.0
958,24.18,61.0
959,24.2,67.0
960,24.22,56.0
961,24.24,43.0
962,24.26,47.0
963,24.28,37.0
964,24.3,32.0
965,24.32,35.0
966,24.34,45.0
967,24.36,28.0
968,24.38,42.0
969,24.4,31.0
970,24.42,32.0
971,24.44,42.0
972,24.46,31.0
973,24.48,24.0
974,24.5,48.0
975,24.52,26.0
976,24.54,32.0
977,24.56,32.0
978,24.58,29.0
979,24.6,37.0
980,24.62,24.0
981,24.64,30.0
982,24.66,30.0
983,24.68,29.0
984,24.7,33.0
985,24.72,39.0
986,24.74,24.0
987,24.76,25.0
988,24.78,27.0
989,24.8,25.0
990,24.82,22.0
991,24.84,24.0
992,24.86,32.0
993,24.88,31.0
994,24.9,31.0
995,24.92,34.0
996,24.94,25.0
997,24.96,29.0
998,24.98,24.0
999,25.0,20.0
1000,25.02,24.0
1001,25.04,28.0
1002,25.06,35.0
1003,25.08,26.0
1004,25.1,23.0
1005,25.12,18.0
1006,25.14,23.0
1007,25.16,26.0
1008,25.18,27.0
1009,25.2,35.0
1010,25.22,39.0
1011,25.24,35.0
1012,25.26,38.0
1013,25.28,34.0
1014,25.3,33.0
1015,25.32,48.0
1016,25.34,35.0
1017,25.36,38.0
1018,25.38,33.0
1019,25.4,30.0
1020,25.42,30.0
1021,25.44,34.0
1022,25.46,27.0
1023,25.48,33.0
1024,25.5,35.0
1025,25.52,38.0
1026,25.54,33.0
1027,25.56,32.0
1028,25.58,32.0
1029,25.6,33.0
1030,25.62,35.0
1031,25.64,30.0
1032,25.66,29.0
1033,25.68,24.0
1034,25.7,32.0
1035,25.72,35.0
1036,25.74,32.0
1037,25.76,22.0
1038,25.78,40.0
1039,25.8,28.0
1040,25.82,42.0
1041,25.84,41.0
1042,25.86,40.0
1043,25.88,33.0
1044,25.9,35.0
1045,25.92,34.0
1046,25.94,31.0
1047,25.96,26.0
1048,25.98,31.0
1049,26.0,35.0
1050,26.02,43.0
1051,26.04,46.0
1052,26.06,33.0
1053,26.08,56.0
1054,26.1,43.0
1055,26.12,51.0
1056,26.14,44.0
1057,26.16,60.0
1058,26.18,57.0
1059,26.2,62.0
1060,26.22,68.0
1061,26.24,93.0
1062,26.26,89.0
1063,26.28,97.0
1064,26.3,115.0
1065,26.32,158.0
1066,26.34,158.0
1067,26.36,192.0
1068,26.38,236.0
1069,26.4,235.0
1070,26.42,227.0
1071,26.44,289.0
1072,26.46,334.0
1073,26.48,382.0
1074,26.5,557.0
1075,26.52,799.0
1076,26.54,1443.0
1077,26.56,2896.0
1078,26.58,6343.0
1079,26.6,12017.0
1080,26.62,13098.0
1081,26.64,7172.0
1082,26.66,5847.0
1083,26.68,6723.0
1084,26.7,4021.0
1085,26.72,1254.0
1086,26.74,582.0
1087,26.76,338.0
1088,26.78,278.0
1089,26.8,232.0
1090,26.82,191.0
1091,26.84,180.0
1092,26.86,178.0
1093,26.88,157.0
1094,26.9,153.0
1095,26.92,99.0
1096,26.94,101.0
1097,26.96,77.0
1098,26.98,78.0
1099,27.0,75.0
1100,27.02,73.0
1101,27.04,45.0
1102,27.06,54.0
1103,27.08,58.0
1104,27.1,44.0
1105,27.12,44.0
1106,27.14,49.0
1107,27.16,49.0
1108,27.18,44.0
1109,27.2,48.0
1110,27.22,47.0
1111,27.24,45.0
1112,27.26,30.0
1113,27.28,45.0
1114,27.3,44.0
1115,27.32,45.0
1116,27.34,49.0
1117,27.36,36.0
1118,27.38,49.0
1119,27.4,47.0
1120,27.42,47.0
1121,27.44,50.0
1122,27.46,60.0
1123,27.48,53.0
1124,27.5,54.0
1125,27.52,49.0
1126,27.54,44.0
1127,27.56,42.0
1128,27.58,43.0
1129,27.6,36.0
1130,27.62,48.0
1131,27.64,47.0
1132,27.66,54.0
1133,27.68,35.0
1134,27.7,40.0
1135,27.72,44.0
1136,27.74,39.0
1137,27.76,38.0
1138,27.78,44.0
1139,27.8,31.0
1140,27.82,39.0
1141,27.84,47.0
1142,27.86,50.0
1143,27.88,41.0
1144,27.9,48.0
1145,27.92,52.0
1146,27.94,50.0
1147,27.96,66.0
1148,27.98,37.0
1149,28.0,45.0
1150,28.02,32.0
1151,28.04,38.0
